Series Name,"Time","World","China","India","Japan","United Kingdom","United States"
GDP (current US$),"1961","1408319818797.99","50056868957.6732","39920452403.4524","53508617739.3778","76694360635.9159","563300000000"
GDP (current US$),"1962","1507694495382.42","47209359005.6056","42900864969.865","60723018683.7333","80601939635.2483","605100000000"
GDP (current US$),"1963","1628586595985.8","50706799902.5103","49271095508.0955","69498131797.3333","85443766670.4279","638600000000"
GDP (current US$),"1964","1786711138819.67","59708343488.5043","57470781032.781","81749006381.5111","93387598813.9269","685800000000"
GDP (current US$),"1965","1946931144711.62","70436266146.7219","60599264111.7178","90950278257.7778","100595782309.165","743700000000"
GDP (current US$),"1966","2110121189314.61","76720285969.6157","46669801600","105628070343.111","107090721447.057","815000000000"
GDP (current US$),"1967","2253163975410.39","72881631326.6715","51014155360","123781880217.6","111185383409.521","861700000000"
GDP (current US$),"1968","2429368208925.09","70846535055.6503","54016411986.6667","146601072685.511","104702736248.084","942500000000"
GDP (current US$),"1969","2672081457955.09","79705906247.4612","59472993626.6667","172204199480.889","112676874821.987","1019900000000"
GDP (current US$),"1970","2936449087706.58","92602973434.0726","63517182000","209070551156.667","130671946244.3","1075884000000"
GDP (current US$),"1971","3242218447301.69","99800958648.1436","68532117824.1238","236154755295.247","148113896325.14","1167770000000"
GDP (current US$),"1972","3748868269020.92","113687586299.051","72716439112.1","312738030290.016","169965034965.035","1282449000000"
GDP (current US$),"1973","4561619140191.17","138544284708.957","87014945186.3156","424891148590.163","192537971582.558","1428549000000"
GDP (current US$),"1974","5244823351364.49","144182133387.722","101271278198.505","471643172433.473","206131369798.971","1548825000000"
GDP (current US$),"1975","5838390603244.98","163431551779.761","100199707352.024","512861437158.573","241756637168.142","1688923000000"
GDP (current US$),"1976","6338946480842.65","153940455341.506","104518508553.081","576405865272.759","232614555256.065","1877587000000"
GDP (current US$),"1977","7164570104373.51","174938098826.569","123617837582.482","709404712455.402","263066457352.172","2085951000000"
GDP (current US$),"1978","8438146734961.64","149540650406.504","139708121469.133","996741758196.688","335883029721.956","2356571000000"
GDP (current US$),"1979","9816406822304.42","178282608695.652","155674658263.583","1037452649454.69","438994070309.191","2632143000000"
GDP (current US$),"1980","11072407163504","191150000000","189592920294.446","1086988088501.05","564947710899.373","2862505000000"
GDP (current US$),"1981","11339225370709.1","195865079365.079","196883842005.062","1201465862932","540765675241.158","3210956000000"
GDP (current US$),"1982","11217845291200.8","205091603053.435","204235073533.23","1116840773461.75","515048916841.37","3344991000000"
GDP (current US$),"1983","11592060409004.6","230685823754.789","222089924399.492","1218106450431.71","489618008185.539","3638137000000"
GDP (current US$),"1984","12016824283025.2","259946428571.429","215878839023.118","1294608503864.69","461487097632.349","4040693000000"
GDP (current US$),"1985","12643745145459.9","309486394557.823","236589423202.641","1384532251034.44","489285164271.047","4346734000000"
GDP (current US$),"1986","14968095100146.2","300759420289.855","253352444883.275","2051061226984.6","601452653180.885","4590155000000"
GDP (current US$),"1987","17030806318698.2","272973094170.404","283926977522.458","2485236197212.34","745162608269.325","4870217000000"
GDP (current US$),"1988","19065435656265.8","312353909465.021","301790256315.321","3015393553892.77","910122732123.799","5252629000000"
GDP (current US$),"1989","20010757441145.9","347767206477.733","301234030103.706","3017052046398.2","926884816753.927","5657693000000"
GDP (current US$),"1990","22516517358561.9","360858508604.206","326608014285.316","3103698099973.41","1093169389204.55","5979589000000"
GDP (current US$),"1991","23851738070186","383372822299.652","274842161318.346","3536800942895.19","1142797178130.51","6174043000000"
GDP (current US$),"1992","25342928951843.2","426915227629.513","293262722482.422","3852794371594.29","1179659529659.53","6539299000000"
GDP (current US$),"1993","25785801382574.7","444730903968.185","284194018792.066","4414962786901.36","1061388722255.55","6878718000000"
GDP (current US$),"1994","27750101352800.9","564325246266.838","333014993709.73","4907039384469.68","1140489745944.29","7308755000000"
GDP (current US$),"1995","30847798398716.6","734548001963.907","366600193391.349","5449116304981.1","1320255641470.73","7664060000000"
GDP (current US$),"1996","31528704718721.2","863746361646.34","399787263892.645","4833712542207.1","1392979719188.77","8100201000000"
GDP (current US$),"1997","31412174125167.5","961603416246.472","423160799040.86","4414732843544.43","1537090700720.37","8608515000000"
GDP (current US$),"1998","31315776695463.6","1029043011921.59","428740690379.961","4032509760872.94","1623564094070.88","9089168000000"
GDP (current US$),"1999","32487897854651","1093997559885.48","466866720520.974","4562078822335.45","1652167933991.26","9660624000000"
GDP (current US$),"2000","33547584771076.1","1211346395438.73","476609148165.173","4887519660744.86","1635441065214.1","10284779000000"
GDP (current US$),"2001","33342786907089.5","1339395440432.04","493954161367.563","4303544259842.72","1613034403339.57","10621824000000"
GDP (current US$),"2002","34617433714414.1","1470549716080.71","523968381476.715","4115116279069.77","1757571942446.04","10977514000000"
GDP (current US$),"2003","38875972061510.5","1660287543796.06","618356467437.027","4445658071221.86","2028488163265.31","11510670000000"
GDP (current US$),"2004","43779148933011.9","1955347477285.91","721584805204.777","4815148854362.11","2389004027828.63","12274928000000"
GDP (current US$),"2005","47391754233579.3","2285965854313.36","834214699568.14","4755410630912.14","2508103636363.64","13093726000000"
GDP (current US$),"2006","51310592618957.8","2752132089196.58","949116769619.554","4530377224970.4","2678277828886.84","13855888000000"
GDP (current US$),"2007","57756336378116.2","3552182714426.55","1201071960529.75","4515264514430.57","3063005202080.83","14477635000000"
GDP (current US$),"2008","63345095627850.4","4598205419718.8","1186913419021.34","5037908465114.48","2875463235294.12","14718582000000"
GDP (current US$),"2009","60043973367100.2","5109954035775.98","1323896417147.06","5231382674593.7","2367127278392.27","14418739000000"
GDP (current US$),"2010","65853158964855","6100620356557.32","1656562168648.57","5700096491337.99","2429602904820.77","14964372000000"
GDP (current US$),"2011","73172666460086.8","7572554360442.62","1822989507290.05","6157461124963.98","2608995353308.76","15517926000000"
GDP (current US$),"2012","74681803940142.8","8560546868811.69","1828985283085","6203213121334.12","2646002634059.62","16155255000000"
GDP (current US$),"2013","76776112373375.8","9607224248684.59","1863208343557.81","5155717056270.83","2719509472492.7","16691517000000"
GDP (current US$),"2014","78630126296541","10482371325324.7","2042438591343.98","4848733415523.53","2998833559195.71","17393103000000"
GDP (current US$),"2015","74152476351765.6","11007720594138.9","2095398349095.54","4383076298081.86","2858003087965.69","18036648000000"
CO2 emissions (kg per 2010 US$ of GDP),"1960","0.840407621758056","6.10237341557875","0.872239857433691","0.292360419568776","0.804028334172287","0.939125843563763"
CO2 emissions (kg per 2010 US$ of GDP),"1961","0.808689385329658","5.93305058350219","0.90941993369526","0.317359518136098","0.790078296091853","0.914775304073855"
CO2 emissions (kg per 2010 US$ of GDP),"1962","0.797824715439222","5.01221036824609","0.972046460920342","0.301796942672967","0.785578647072309","0.894119945624759"
CO2 emissions (kg per 2010 US$ of GDP),"1963","0.800002157396209","4.50635897265273","0.984933153633736","0.308586357769121","0.769005988024027","0.894287910965189"
CO2 emissions (kg per 2010 US$ of GDP),"1964","0.793126092814463","3.81511684600031","0.896178000457474","0.305290170661978","0.737615161279438","0.882323693185445"
CO2 emissions (kg per 2010 US$ of GDP),"1965","0.78470623128301","3.55373400043089","1.0140687798001","0.310661825081783","0.734427641683179","0.863615476634681"
